Device_Number,X,Y,Remaining Energy(mJ),Device_Id
1,36.000000,4.320000,529.799689,1
2,13.220000,0.000000,557.360466,2
3,23.120000,36.000000,530.999076,3
4,17.180000,8.270000,529.655653,4
5,48.860000,32.040000,531.022937,5
6,14.210000,32.040000,271.632230,6
7,12.850000,35.880000,271.564069,7
8,9.260000,17.180000,298.304614,8
9,45.900000,17.180000,271.716537,9
10,30.050000,16.190000,270.968423,10
11,0.000000,30.050000,688.571261,11
12,20.860000,35.330000,530.919510,12
13,45.140000,25.370000,530.958578,13
14,44.900000,42.930000,697.600933,14
15,26.090000,18.180000,530.460074,15
16,19.160000,18.180000,169.940056,16
17,26.090000,16.190000,11.980508,17
18,14.210000,41.930000,12.360155,18
19,6.290000,44.900000,562.340359,19
20,28.250000,6.080000,11.461567,20
21,43.910000,6.290000,11.494685,21
22,24.110000,20.150000,12.124433,22
23,4.610000,22.280000,170.015931,23
24,17.180000,23.120000,169.871895,24
25,18.270000,4.040000,11.316210,25
26,1.350000,5.300000,557.470176,26
27,27.080000,0.000000,529.735330,27
28,44.900000,33.020000,531.212212,28
29,29.370000,39.930000,530.585594,29
30,34.010000,35.000000,697.596907,30
31,18.180000,40.940000,12.216231,31
32,4.320000,27.080000,170.095497,32
33,36.980000,46.880000,12.102115,33
34,41.930000,0.000000,11.517606,34
35,17.390000,31.220000,12.515597,35
36,24.200000,10.130000,529.941132,36
37,21.140000,13.220000,530.016896,37
38,41.870000,20.300000,530.879013,38
39,27.080000,13.220000,530.316149,39
40,31.990000,7.900000,529.867850,40
41,30.010000,11.980000,271.044187,41
42,10.250000,7.270000,298.046955,42
43,28.140000,29.390000,271.958206,43
44,32.040000,1.350000,270.695289,44
45,7.270000,20.150000,429.143969,45
46,43.910000,37.970000,531.091098,46
47,4.610000,1.690000,557.409619,47
48,34.010000,37.970000,697.627052,48
49,23.120000,14.210000,530.088858,49
50,13.750000,11.990000,519.880911,50
51,48.860000,42.930000,568.069093,51
52,8.990000,30.280000,559.031818,52
53,12.230000,4.320000,427.707512,53
54,8.270000,10.250000,427.567389,54
55,33.020000,31.040000,520.355144,55
56,46.340000,36.510000,531.151655,56
57,24.110000,42.930000,530.668961,57
58,26.090000,34.010000,531.082443,58
59,34.010000,42.930000,530.570276,59
60,0.000000,6.290000,557.538337,60
61,17.000000,43.410000,271.495796,61
62,39.050000,8.260000,270.686970,62
63,12.380000,18.660000,298.387981,63
64,35.230000,31.860000,283.793595,64
65,39.950000,29.070000,272.019928,65
66,37.970000,11.250000,529.943613,66
67,16.190000,15.200000,688.408216,67
68,48.860000,46.880000,1296.000000,68
69,12.230000,23.120000,688.313332,69
70,30.050000,2.330000,529.963449,70
71,32.040000,22.140000,12.788731,71
72,14.210000,39.950000,12.420713,72
73,39.950000,29.070000,12.884175,73
74,46.880000,4.320000,11.570337,74
75,1.350000,9.260000,39.198894,75
76,36.000000,24.110000,531.113079,76
77,21.140000,22.140000,530.592593,77
78,36.980000,39.950000,697.687609,78
79,29.070000,24.110000,531.241573,79
80,21.140000,3.320000,529.788172,80
81,31.040000,35.000000,179.242146,81
82,37.970000,30.050000,24.638834,82
83,22.060000,33.410000,12.576154,83
84,43.910000,19.160000,12.539458,84
85,36.000000,1.350000,11.544330,85
86,43.910000,3.320000,529.970449,86
87,32.040000,43.910000,530.634635,87
88,7.270000,42.930000,1080.797003,88
89,10.250000,12.230000,557.216430,89
90,17.180000,36.000000,530.733320,90
91,3.320000,14.210000,39.146052,91
92,36.000000,19.160000,12.622221,93
93,38.810000,1.440000,11.593370,94
94,42.930000,17.180000,12.584697,95
95,19.160000,38.970000,530.691883,96
96,40.940000,48.860000,530.547354,97
97,37.970000,17.180000,530.980784,98
98,40.940000,42.930000,697.646172,99
99,29.840000,4.640000,529.910607,100
